epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,2504.43,0.30863,0.2171,0.80766,0.87519,0.83963,0.87601,0.77482,0.53473,0.33994,0.89288,4.9504e-05,4.9504e-05,4.9504e-05
42,2560.09,0.29998,0.21275,0.80371,0.87638,0.83489,0.87513,0.77485,0.53364,0.34497,0.89119,4.47916e-05,4.47916e-05,4.47916e-05
43,2615.73,0.29182,0.20739,0.80034,0.87589,0.83499,0.87557,0.77354,0.53479,0.34597,0.89046,4.00792e-05,4.00792e-05,4.00792e-05
44,2671.46,0.28474,0.20436,0.79745,0.87795,0.83498,0.87621,0.77528,0.53304,0.33942,0.8917,3.53668e-05,3.53668e-05,3.53668e-05
45,2726.84,0.27979,0.20196,0.79775,0.87523,0.83612,0.87625,0.7769,0.53046,0.34114,0.89157,3.06544e-05,3.06544e-05,3.06544e-05
46,2782.75,0.27432,0.19949,0.79589,0.87661,0.83681,0.87624,0.77668,0.52819,0.34101,0.88918,2.5942e-05,2.5942e-05,2.5942e-05
47,2838.1,0.26524,0.1946,0.79594,0.87766,0.83523,0.87608,0.77677,0.5291,0.34158,0.89122,2.12296e-05,2.12296e-05,2.12296e-05
48,2893.24,0.2623,0.19272,0.79397,0.87757,0.83521,0.87643,0.7763,0.53216,0.34013,0.8916,1.65172e-05,1.65172e-05,1.65172e-05
49,2948.96,0.25725,0.18991,0.79327,0.87707,0.8369,0.87626,0.77729,0.52909,0.33829,0.8902,1.18048e-05,1.18048e-05,1.18048e-05
50,3004.78,0.25305,0.18706,0.79074,0.87846,0.83575,0.87594,0.7768,0.53001,0.339,0.89113,7.0924e-06,7.0924e-06,7.0924e-06
